id,username,created_at,lng,lat,text
1517713649539989505,swepal2,Sat Apr 23 03:55:06 +0000 2022,17.980058999999997,59.333670999999995,Hamptons Beachfront Mansion #Rental Lists For Over $1.5 Million A Month  😮😯😲😳https://t.co/DAInTVbZO0
1517713664329097216,Nude7349,Sat Apr 23 03:55:09 +0000 2022,-2.298134,52.84709,@Angy1De You are doing a excellent job keep the good work up 🏳️‍🌈
1517713683618619395,protecths,Sat Apr 23 03:55:14 +0000 2022,-2.0988680000000004,53.4202645,@OnlyaMoment3 @WondersNorbit @OldGuy_Wims @CubeSteve @Godfly__ @pray2pesci @Felix_Cat7 @zypisfy @LakeCountry… https://t.co/PWHvE767HU
1517713706595102721,ClubAfricana1,Sat Apr 23 03:55:20 +0000 2022,8.4332605,50.144532,#Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/bAFvjNLOSu
1517713721426075650,jimmyangel3,Sat Apr 23 03:55:23 +0000 2022,-1.8630965000000002,54.8425435,"After 3 say ""STAYING UP BONUS!!"" 1, 2, 3...."
1517713741982404608,NCISTIVES,Sat Apr 23 03:55:28 +0000 2022,-5.38496,50.194054,The Tides today for Hayle Rivermouth.Our station here is open from 08:00 until 17:00 and can be contacted on 0173… https://t.co/jnY17N7clP
1517713746403201024,Moggsee,Sat Apr 23 03:55:29 +0000 2022,-3.9748195,53.2561115,"So this s going on in France, Boris is in India Brexiting, but now is not the right time to be criticising him, bec… https://t.co/EJcEnz0WGv"
1517713763167707137,BarstoolSyria,Sat Apr 23 03:55:33 +0000 2022,-42.2878925,71.7023435,Anyone in Greenland rn trying to chill? https://t.co/LRy7i96Gdp
1517713769497075712,jimblob1958,Sat Apr 23 03:55:35 +0000 2022,-2.7743115,53.546259500000005,@RadioAndrewE @BBCLeeds Hello Andrew only had an hour's sleep. In case I drop off. Good morning.
1517713796122431490,ClubAfricana1,Sat Apr 23 03:55:41 +0000 2022,8.4332605,50.144532,@interracialvi11 #Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/JLx1Uv9f9A
1517713807157694467,kabyIe_k,Sat Apr 23 03:55:44 +0000 2022,-5.869471,35.753779,don't forget to drink water 🍶
1517713892419452928,MichaelWUSA,Sat Apr 23 03:56:04 +0000 2022,13.4246065,52.506701,Hi Hi. “HBO and HBO Max gained 3 million subscribers before splitting from AT&amp;T.” https://t.co/UUx8cL68w9 https://t.co/87dt2VXVKz
1517713918159990793,AlexeiRapp,Sat Apr 23 03:56:10 +0000 2022,-3.7035074999999997,40.4777945,Madrid it’s been amazing and terrifying… see you again soon 🖤 https://t.co/rfsqNNXaYG
